,Achnanthes,Achnanthidium,Amphora,Ankistrodesmus,Ankyra,Aphanocapsa,Aphanochaete,Aphanothece,Aulacoseira,Botryococcus,Bumilleriopsis,Chamaesiphon,Characiochloris,Characiopsis,Characium,Chlamydomonas,Chromulina,Chroomonas,Closteriopsis,Closterium,Cocconeis ,Cosmarium,Cryptomonas,Cyclotella,Cymbella,Denticula,Diadesmis,Encyonema,Epithemia ,Euglena,Eunotia,Fragilaria,Frustulia,Gomphonema,Gomphosphaeria,Gymnodinium,Gyrosigma,Haematococcus,Hapalosiphon,Hydrococcus,Katodinium,Kirchneriella,Lagerheimia,Lyngbya,Melosira,Meridion,Merismopedia,Microcystis,Microthamnion,Monoraphidium,Mougeotia,Navicula,Netrium,Nitzschia,Nostoc,Oedogonium,Ophiocytium,Oscillatoria,Pandorina,Pediastrum,Phacus,Phormidium,Pinnularia,Protoderma,Pseudostaurosira,Quadrigula,Radiococcus,Rhabdoderma ,Rhoicosphenia,Scenedesmus,Spirulina,Staurosirella,Stephanodiscus,Stichococcus,Surirella,Synedra,Synura,Tetraedron,Tetrastrum,Trachelomonas,Treubaria,Unknown
SBRC,0,308829871.8,6496272422,0,0,227262808.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54E+11,909051235.1,0,1363576853,15499296867,768752645.9,0,0,0,81814611.16,0,7330833750,0,44840670351,0,0,0,0,0,0,0,163546269.3,0,0,10022289867,0,0,0,0,146254116,0,37516832729,0,1946200604,0,0,0,2140173073,0,2592500491,0,0,9323950671,0,0,0,0,0,4760212364,727468250.9,0,272577115.5,0,0,343447165.5,83840250103,0,0,0,454525617.5,0,3066492549
SBRX,0,0,267397065.4,0,0,0,0,0,0,0,0,0,0,744646379.9,0,0,0,0,0,0,83601896918,0,0,0,524307971.5,0,0,0,0,0,0,0,0,8337581798,921489270.7,0,1163149775,0,0,0,3110026289,0,207335085.9,0,0,0,0,0,0,150121288.3,0,2993321873,0,1523140323,0,0,28781941.09,6350932850,0,0,0,0,0,0,0,0,0,0,7750756529,0,0,0,0,0,0,0,0,549973396.6,0,10000678284,0,1647775721
SLBC,0,0,26060559.95,0,0,0,2074153959,0,0,0,0,0,0,0,0,0,0,1903369226,0,0,33292712013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120390150.4,0,0,0,82831180.08,0,0,0,209942395.2,0,0,0,0,0,51241438.78,0,0,0,0,0,0,0,0,0,0,124987670.6,0,0,0,0,15895524.14,132462701.1,0,0,0,0,0,0,1533586922
SLBX,0,0,0,0,0,0,7316129658,0,0,3484407158,0,0,0,0,0,0,0,1177248178,0,132422612.9,64743357798,0,0,0,0,0,0,0,0,228745015.8,0,0,0,8532393265,0,0,0,0,0,0,0,0,0,32532624.47,0,0,0,0,0,0,0,73161296.58,0,119460729.9,0,0,0,548028641.1,0,0,0,0,0,0,0,0,0,0,23665944.91,0,0,0,0,0,0,2550031038,0,0,203328902.9,0,0,3282139692
SLC,0,0,49990364.09,0,0,16200669851,0,38738881.01,0,0,0,0,0,134206539.5,0,0,0,0,0,0,11612223352,0,0,0,0,0,0,313081371.3,0,593996175.5,0,864437328.2,0,0,0,0,0,0,0,0,0,12906414.02,0,0,25425087077,0,0,825975490.4,0,0,0,1470121222,0,586596517.1,0,0,0,0,0,0,0,0,385342775.2,0,0,0,0,0,2052788075,0,0,0,0,0,0,0,0,0,0,0,0,984758835.9
SLCAC,0,915759219.3,0,0,0,0,0,0,0,0,0,0,0,3515914625,0,0,0,0,0,0,0,0,0,0,1289962583,0,1861473498,0,61037360.31,0,5644732235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3920716415,0,0,0,0,0,217171908.1,62545509534,0,0,0,0,504707912,0,0,0,0,0,0,1597665948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573613592,0,172082883.4
SLCAX,0,547482084.4,0,0,0,0,1087778466,0,0,0,0,0,0,0,0,0,0,0,0,0,37911233363,0,0,0,0,0,0,0,0,0,25827324232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171088151.4,0,0,0,69281875507,3479288943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450714626
SLX,0,0,80906954.43,0,0,32689543144,0,0,0,0,0,0,0,192768912.8,0,0,0,0,0,0,24420887807,0,0,362253953,0,0,0,0,0,1267888836,0,0,15211981594,0,0,0,0,0,0,0,0,17409442.43,0,0,17839109053,0,0,78614139.11,0,0,0,917244774.5,0,0,0,0,0,1579990.598,0,0,0,0,1545140795,0,0,0,0,0,1361993177,0,0,0,0,0,0,0,0,0,0,0,0,1431843231
SPGC,33289867.56,0,0,0,0,538050997.1,0,0,0,0,0,0,0,6527425.012,0,0,0,0,0,0,4332121432,0,0,0,169352725.4,0,18140932.82,0,0,69661182.05,0,0,0,738635300.2,0,0,0,0,0,0,0,2610970.005,0,0,1126551928,0,0,0,0,0,0,2010423568,0,66579735.12,0,0,0,305765785.6,0,0,0,0,346466295.8,0,0,0,0,0,506215891.1,0,0,0,0,0,0,0,0,0,62663280.12,105797920.2,0,2545100454
SPGX,0,0,261805050.1,0,0,10651189097,0,0,0,0,0,1525515006,0,203767062.7,0,2246735200,0,0,0,0,34293996653,0,0,0,0,0,0,0,0,0,0,0,6521211368,2896762946,0,0,0,0,0,0,0,0,0,0,0,0,38173861.72,249637244.5,0,61985320.67,0,119765130.7,0,0,0,0,0,542961006.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4829701891
SUBC,0,0,0,0,0,6719590495,0,0,0,0,0,0,0,54499431.89,0,0,0,0,0,0,4284051063,0,0,0,0,81553419.62,0,0,0,0,21303750.43,71900157.71,0,225675475.1,0,0,0,0,0,0,0,0,0,0,4456843373,0,0,215088293,0,0,0,464421759.4,0,86810652.63,0,0,0,19072780.92,0,0,0,0,0,0,0,0,0,0,555580372.4,0,0,0,0,0,0,2120198092,0,0,0,0,0,52073289.77
SUBX,0,0,78052560.65,0,0,5185464350,0,0,0,0,0,0,0,208798480.1,0,0,0,0,0,0,29280570530,0,376351321.2,637298038,0,82652459.57,47607816.71,0,0,0,531965005.2,111084905.7,0,3091117132,0,0,0,0,0,0,0,19836590.3,0,0,0,0,0,0,108628946.9,0,0,888973120.7,0,0,0,0,146937705.9,111637415.8,0,0,0,0,0,0,0,0,0,0,462928125,0,0,0,0,0,0,0,0,0,0,0,0,1314476463
